message length (char), 200
random seed used, 665
prime one length (bin digits), prime two length (bin digits), modulus - n length (bin Digits, phi(n) length (bin digits), encryption time (seconds), decryption time (seconds)
600, 520, 1119, 1119,0.406514, 0.351859
509, 407, 915, 915,0.236548, 0.190372
446, 647, 1092, 1092,0.293511, 0.422644
438, 613, 1050, 1050,0.265642, 0.36757
619, 369, 987, 987,0.32814, 0.198121
451, 463, 913, 913,0.204612, 0.212063
465, 417, 881, 881,0.197998, 0.177507
646, 467, 1112, 1112,0.434451, 0.315809
472, 381, 852, 852,0.193444, 0.155692
504, 442, 945, 945,0.244414, 0.215582
337, 484, 820, 820,0.128175, 0.184533
429, 337, 765, 765,0.141086, 0.112006
432, 633, 1064, 1064,0.268168, 0.39158
413, 646, 1058, 1058,0.255054, 0.393617
397, 407, 803, 803,0.144103, 0.146928
477, 444, 920, 920,0.222357, 0.207212
335, 552, 886, 886,0.148843, 0.242649
341, 364, 704, 704,0.0959935, 0.101986
551, 502, 1052, 1052,0.333721, 0.302929
578, 520, 1097, 1097,0.380464, 0.341314
400, 471, 870, 870,0.169909, 0.200178
531, 388, 918, 918,0.246763, 0.18119
401, 520, 920, 920,0.190377, 0.243582
574, 463, 1036, 1036,0.335612, 0.272951
336, 617, 952, 952,0.168026, 0.305034
461, 448, 908, 908,0.208485, 0.201378
420, 548, 967, 967,0.217288, 0.282521
632, 482, 1113, 1113,0.427435, 0.326853
653, 488, 1140, 1140,0.463456, 0.345919
632, 481, 1112, 1112,0.425404, 0.323765
344, 399, 742, 742,0.109958, 0.127439
461, 395, 855, 855,0.186916, 0.16217
371, 495, 865, 865,0.152143, 0.202571
362, 386, 747, 747,0.115929, 0.122357
436, 427, 862, 862,0.178159, 0.175194
378, 535, 912, 912,0.174399, 0.245959
